squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
78183,65,1,1,86,3648,7,9,2007,0,1,8682,588,748,1,4,7829898.7
99323,35,0,1,28,69665,6,7,2018,0,0,6346,6556,280,1,3,9939399.8
67491,21,0,0,57,5308,6,7,2007,1,0,1253,1592,254,1,0,6750826.7
2588,82,1,0,69,25395,1,5,2016,0,0,7247,9670,987,0,8,267798.6
76635,6,1,1,1,73981,2,5,1999,0,0,981,5857,949,1,1,7669791.9
45070,100,0,0,92,21335,9,9,1997,1,0,1333,989,885,1,0,4510977.7
62381,58,1,0,44,22862,1,4,2003,1,0,1809,2821,734,1,6,6243323.3
98543,2,1,0,44,88249,1,3,1992,0,1,2955,6151,661,0,7,9860222.2
13972,39,0,0,8,91674,2,2,2009,0,0,1477,3153,952,1,2,1397748.9
71567,70,0,1,94,64245,10,8,1992,0,0,5968,1718,985,0,4,7166917.2
36804,99,0,0,12,76338,2,8,1996,0,0,6951,6584,594,1,6,3681839.6
21297,71,1,1,14,75154,2,3,1995,1,1,8198,4951,111,0,4,2136801.5
9950,1,1,0,69,79019,5,10,2012,0,1,3156,6914,174,0,4,1000736.2
3661,50,1,1,24,1138,3,8,2007,1,0,6186,862,613,0,7,372556.7
88102,51,1,0,70,42082,8,3,2016,1,0,7245,6073,496,1,9,8821018.6
72596,91,0,0,90,32957,7,6,2015,1,0,9595,1266,156,1,0,7262781.5
70763,4,1,0,38,18220,10,4,2015,1,0,7098,5958,484,0,9,7082373.5
12002,58,0,0,41,2764,8,8,1995,1,0,1718,3877,867,1,1,1203664.5
26146,34,0,1,98,431,7,9,2011,1,1,2060,7566,680,1,7,2627462.1
13716,62,0,1,98,61202,6,8,1990,0,1,5967,1070,911,0,10,1382883.0
23281,32,1,1,52,87667,9,10,2020,1,1,3681,3220,422,1,3,2339782.0
3824,45,1,1,9,11597,5,6,2019,0,1,3191,6677,305,0,0,386574.9
56086,3,1,0,46,52007,6,2,2021,0,1,2853,1194,863,0,1,5615576.1
19014,67,1,0,89,82387,8,2,1999,0,0,3330,8941,550,0,6,1912984.9
80808,59,1,0,1,18733,7,5,2004,0,0,3879,8229,434,0,5,8085990.4
83602,5,0,1,2,48528,9,7,1991,1,0,8993,8003,496,1,5,8365162.1
99767,27,0,1,79,46530,2,8,2018,1,0,520,7948,495,1,2,9985836.8
60675,32,1,0,51,97066,9,7,2002,1,0,5953,6958,260,0,6,6075733.2
20210,2,1,0,78,77066,1,8,2007,1,0,2811,9309,218,0,4,2029228.7
28694,82,0,0,20,44298,2,3,1991,1,1,3206,2352,310,1,3,2870499.1
45521,53,0,0,32,26627,9,9,1991,1,1,8643,2999,670,0,7,4554205.1
55727,46,0,0,77,94339,5,5,2016,0,0,5811,42,183,0,2,5574845.6
17307,20,1,0,66,81794,5,8,2006,1,1,2317,5409,692,0,2,1740869.6
86474,98,0,0,33,50147,1,6,2004,0,0,1928,4232,220,0,7,8649993.4
6012,53,1,0,38,96011,8,7,2013,1,0,392,2928,423,0,4,607323.3
6617,51,0,0,38,26766,10,4,2010,1,1,7115,5340,248,0,10,663333.0
34061,43,0,0,90,26346,3,1,1993,0,0,1616,6765,534,1,9,3407529.3
12881,12,1,0,68,85503,10,5,2006,0,1,8654,5066,920,1,0,1293712.6
48458,82,1,0,72,98206,3,6,2002,1,1,5447,7360,308,0,6,4851198.2
89618,49,1,0,36,30029,1,6,2006,0,1,4321,9355,752,1,0,8969519.6
10369,30,1,0,68,51049,8,10,1999,0,0,9629,7874,383,0,10,1044857.9
21865,24,0,1,79,50297,10,5,1993,0,0,2324,4385,932,1,3,2191960.3
30817,48,0,0,63,26230,9,3,2013,0,0,2444,9730,961,1,3,3086005.3
8808,85,1,0,37,93756,5,10,1998,1,1,9287,4979,416,0,5,888730.8
16006,69,1,1,26,6423,7,10,1990,1,0,3565,742,405,1,3,1610901.0
70517,37,0,0,1,67679,5,6,2002,0,1,9373,6035,184,1,5,7052408.2
55592,68,0,1,10,80811,7,6,2021,0,0,7719,4694,372,1,0,5564877.1
10978,17,0,1,55,25000,2,9,2015,0,1,9798,2127,481,1,6,1103882.5
94388,7,1,0,81,41690,8,8,1996,1,0,7739,1176,741,0,8,9446167.6
18041,90,1,0,99,90750,6,8,2006,1,0,1064,653,221,1,3,1817658.6
18220,91,0,1,97,50508,8,4,2013,1,0,2604,5842,838,1,2,1833031.3
39342,7,1,1,84,88712,5,7,1994,0,1,1003,2398,385,1,2,3946165.4
66570,59,0,0,2,85412,7,10,2008,1,1,2628,7837,754,1,6,6657976.8
34592,100,0,1,33,63748,1,7,1994,1,0,7356,2228,264,1,5,3465076.4
38700,25,1,1,26,101,4,7,1996,0,1,5100,5564,956,1,8,3880396.6
32060,25,0,1,97,43201,8,9,2017,0,1,9618,9072,814,0,8,3211741.7
8305,86,0,0,83,36778,9,9,2001,0,1,1648,3165,766,0,4,838488.1
40080,50,0,0,82,11062,8,8,2018,0,0,5973,2871,484,0,0,4011225.8
89335,66,1,1,54,25219,7,2,2004,0,1,9808,4039,425,0,8,8938823.4
78546,92,0,1,84,52906,10,6,1991,0,1,978,3244,530,1,4,7864949.1
50066,63,0,1,67,81340,8,5,1998,0,1,8716,6542,465,0,1,5015729.8
37008,61,1,1,75,13250,6,3,2013,1,0,309,5249,463,0,7,3708694.3
32876,98,1,1,32,48832,7,9,2008,1,1,3289,8595,121,0,8,3299047.8
98266,14,1,1,42,27552,8,10,1990,1,1,6293,8164,1000,0,9,9838529.0
53665,66,1,1,81,16527,10,3,2002,1,0,1788,6553,204,1,8,5379979.2
33469,98,1,1,91,29874,7,7,2016,0,0,6871,4561,293,0,8,3362757.6
42578,49,1,1,23,3339,7,8,2013,1,0,6690,3789,964,1,6,4264812.3
64329,25,1,0,44,54901,4,5,2019,0,1,7313,2455,634,1,5,6436473.9
29512,96,0,1,26,49748,2,8,2012,1,1,6556,9398,170,0,9,2955396.2
241,78,0,1,50,86182,7,6,2013,0,1,4070,7336,962,0,7,29643.3
32709,47,1,1,80,86465,1,3,2006,0,1,2548,2351,162,0,5,3284181.6
29271,70,0,1,98,33402,10,3,2021,1,1,3470,5717,429,0,6,2938810.1
15542,19,0,0,27,48610,8,7,1996,0,0,563,6368,615,0,5,1556824.6
94951,52,0,1,80,45083,8,4,2014,1,1,4121,3981,261,1,3,9498811.4
